Iteration,Accuracy
50,0.0862926829268
100,0.5970000000000
150,0.6925121951220
200,0.7466097560976
250,0.7875121951220
300,0.8108780487805
350,0.8260975609756
400,0.8361219512195
450,0.8429024390244
500,0.8486585365854
550,0.8541951219512
600,0.8580000000000
650,0.8615121951220
700,0.8648292682927
750,0.8678780487805
800,0.8699512195122
850,0.8726341463415
900,0.8749268292683
950,0.8770731707317
1000,0.8785609756098
1050,0.8802439024390
1100,0.8819268292683
1150,0.8833658536585
1200,0.8846341463415
1250,0.8859268292683
1300,0.8871219512195
1350,0.8881951219512
1400,0.8890000000000
1450,0.8897804878049
1500,0.8909756097561
1550,0.8916829268293
1600,0.8924878048780
1650,0.8933902439024
1700,0.8944634146341
1750,0.8950000000000
1800,0.8954390243902
1850,0.8959024390244
1900,0.8965609756098
1950,0.8969512195122
2000,0.8973902439024
2050,0.8979512195122
2100,0.8988536585366
2150,0.8995609756098
2200,0.9001951219512
2250,0.9010243902439
2300,0.9012682926829
2350,0.9015853658537
2400,0.9022195121951
2450,0.9026585365854
2500,0.9031951219512
2550,0.9035121951220
2600,0.9039024390244
2650,0.9042926829268
2700,0.9046585365854
2750,0.9050487804878
2800,0.9054390243902
2850,0.9057804878049
2900,0.9061707317073
2950,0.9064634146341
3000,0.9069268292683
3050,0.9071707317073
3100,0.9077317073171
3150,0.9079756097561
3200,0.9084146341463
3250,0.9088048780488
3300,0.9088780487805
3350,0.9092926829268
3400,0.9096585365854
3450,0.9099756097561
3500,0.9103658536585
3550,0.9107560975610
3600,0.9110243902439
3650,0.9111707317073
3700,0.9115609756098
3750,0.9119756097561
3800,0.9121463414634
3850,0.9123170731707
3900,0.9125365853659
3950,0.9127560975610
4000,0.9129756097561
4050,0.9132926829268
4100,0.9134878048780
4150,0.9137804878049
4200,0.9140487804878
4250,0.9144390243902
4300,0.9146585365854
4350,0.9149024390244
4400,0.9154390243902
4450,0.9156097560976
4500,0.9158536585366
4550,0.9161219512195
4600,0.9164146341463
4650,0.9166829268293
4700,0.9167317073171
4750,0.9168780487805
4800,0.9170975609756
4850,0.9172195121951
4900,0.9175121951220
4950,0.9177560975610
5000,0.9180000000000
