Iteration,Accuracy
50,0.0698536585366
100,0.7012195121951
150,0.7543658536585
200,0.8120000000000
250,0.8364634146341
300,0.8513658536585
350,0.8621707317073
400,0.8693658536585
450,0.8751951219512
500,0.8800243902439
550,0.8839756097561
600,0.8870731707317
650,0.8898048780488
700,0.8924878048780
750,0.8946341463415
800,0.8968292682927
850,0.8983414634146
900,0.9000000000000
950,0.9012439024390
1000,0.9027804878049
1050,0.9043658536585
1100,0.9054878048780
1150,0.9068048780488
1200,0.9080975609756
1250,0.9091951219512
1300,0.9099756097561
1350,0.9111219512195
1400,0.9123414634146
1450,0.9126097560976
1500,0.9133658536585
1550,0.9140731707317
1600,0.9149024390244
1650,0.9154878048780
1700,0.9159512195122
1750,0.9163170731707
1800,0.9168780487805
1850,0.9173170731707
1900,0.9177804878049
1950,0.9181219512195
2000,0.9185365853659
2050,0.9189756097561
2100,0.9197073170732
2150,0.9201219512195
2200,0.9205121951220
2250,0.9207804878049
2300,0.9211219512195
2350,0.9218292682927
2400,0.9224390243902
2450,0.9226097560976
2500,0.9231463414634
2550,0.9236585365854
2600,0.9239024390244
2650,0.9243658536585
2700,0.9246829268293
2750,0.9247073170732
2800,0.9250243902439
2850,0.9254146341463
2900,0.9255853658537
2950,0.9260731707317
3000,0.9263658536585
3050,0.9266097560976
3100,0.9269756097561
3150,0.9274146341463
3200,0.9273658536585
3250,0.9275853658537
3300,0.9276585365854
3350,0.9278048780488
3400,0.9278292682927
3450,0.9279024390244
3500,0.9279756097561
3550,0.9281219512195
3600,0.9284634146341
3650,0.9286585365854
3700,0.9289024390244
3750,0.9289268292683
3800,0.9293658536585
3850,0.9294390243902
3900,0.9296097560976
3950,0.9295853658537
4000,0.9297073170732
4050,0.9297560975610
4100,0.9298292682927
4150,0.9300487804878
4200,0.9301219512195
4250,0.9301707317073
4300,0.9300000000000
4350,0.9298292682927
4400,0.9298048780488
4450,0.9297804878049
4500,0.9300000000000
4550,0.9299512195122
4600,0.9299512195122
4650,0.9298780487805
4700,0.9299268292683
4750,0.9299756097561
4800,0.9301707317073
4850,0.9300731707317
4900,0.9301951219512
4950,0.9299756097561
5000,0.9300000000000
